borrower_id,age,borrower_type,state,household_size,income_month_1,income_month_2,income_month_3,income_month_4,income_month_5,income_month_6,employment_type,months_at_current_job,num_income_sources,upi_transactions_per_month,upi_avg_transaction_amount,upi_months_active,mobile_wallet_used,utility_bills_paid,utility_bills_total,rent_paid_on_time_months,total_rental_months,same_number_since_year,avg_monthly_recharge_amount,recharge_frequency_per_month,ecomm_orders_per_month,ecomm_return_rate,prepaid_orders_ratio,survey_q1,survey_q2,survey_q3,survey_q4,survey_q5,survey_q6,survey_q7,survey_q8,loan_amount_requested,loan_purpose,loan_tenure_months,default_probability,defaulted
B00001,26,gig,Tamil Nadu,2,25112.52,36128.96,41754.54,33482.23,39488.57,41097.82,daily-wage,28,3,58.4,2482.14,20.0,0.0,21,22,19.0,20.0,,624.91,2.42,14.0,0.223,0.8956075818437034,4.0,5.0,4.0,5.0,3.0,5.0,2.0,4.0,308100.0,education,35,0.1163,0
B00002,40,gig,Tamil Nadu,2,43018.58,43556.73,46889.29,37097.08,29266.94,47789.39,self-employed,31,4,105.9,2611.91,26.0,1.0,6,8,21.0,23.0,2013.0,560.41,2.18,14.2,0.209,0.68481267721074,4.0,5.0,3.0,4.0,4.0,3.0,2.0,4.0,59000.0,consumption,23,0.1155,0
B00003,40,gig,Delhi,2,22393.83,22029.16,20600.81,21650.81,20712.85,12520.48,daily-wage,11,2,6.7,1059.73,0.0,1.0,2,9,3.0,19.0,2020.0,576.4,0.82,5.8,0.419,0.5778154333832182,2.0,2.0,4.0,2.0,2.0,2.0,5.0,2.0,370000.0,business,27,0.4744,0
B00004,33,migrant,Karnataka,1,14685.66,17252.28,13094.54,19138.44,18618.38,13964.88,self-employed,1,2,12.1,1486.67,5.0,0.0,1,9,1.0,13.0,,534.45,0.76,2.6,0.465,0.014330327977259166,2.0,3.0,4.0,3.0,1.0,1.0,3.0,1.0,102500.0,agriculture,40,0.494,0
B00005,32,rural,Madhya Pradesh,6,15519.26,14988.01,20066.19,12933.0,14981.56,37194.16,self-employed,34,3,85.4,2331.27,30.0,1.0,12,17,,,2016.0,302.28,2.36,10.7,0.192,0.4263402902033973,3.0,4.0,3.0,4.0,3.0,4.0,3.0,2.0,308200.0,agriculture,55,0.3691,0
B00006,28,rural,Odisha,5,10443.02,10377.39,15641.73,8846.84,9671.84,21000.85,seasonal,28,2,,,,,7,23,7.0,11.0,2019.0,299.01,1.56,9.1,0.385,0.4498739158001443,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,331700.0,business,40,0.6167,1
B00007,22,migrant,Tamil Nadu,4,19935.14,28936.97,27272.33,20508.21,26883.04,32902.68,salaried-gig,10,3,68.8,,25.0,1.0,5,8,13.0,24.0,2022.0,603.27,1.99,9.4,0.255,0.6907197435923289,4.0,3.0,2.0,4.0,4.0,4.0,2.0,3.0,94000.0,consumption,23,0.2626,0
B00008,29,gig,Karnataka,2,17764.49,8672.73,26451.26,28718.96,17417.04,13356.06,self-employed,13,2,22.3,1583.97,7.0,0.0,1,16,3.0,20.0,2021.0,515.26,1.54,0.6,0.42,0.65601628622805,1.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,166900.0,business,6,0.5125,0
B00009,55,rural,Rajasthan,6,9570.11,8291.51,14613.12,8082.18,9965.08,17100.53,self-employed,18,2,,,,,3,7,,,2020.0,285.65,1.06,0.0,,,2.0,2.0,5.0,2.0,2.0,3.0,4.0,4.0,310600.0,agriculture,42,0.5367,0
B00010,26,migrant,Maharashtra,3,17716.61,20254.31,24508.97,23316.4,19372.44,22743.63,self-employed,8,3,26.3,1357.1,1.0,1.0,3,7,2.0,7.0,2021.0,570.08,1.47,11.4,0.262,0.2920256939011596,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,443100.0,consumption,37,0.6727,1
B00011,48,rural,Bihar,4,8724.77,13503.29,21137.7,10985.36,12623.01,19790.2,seasonal,28,3,59.4,1297.27,20.0,0.0,10,20,,,2017.0,240.03,1.85,0.0,,,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,394000.0,agriculture,43,0.4367,0
B00012,28,migrant,Tamil Nadu,3,26841.43,34249.03,27491.53,28000.69,27906.53,38184.43,self-employed,15,3,75.0,2833.71,,1.0,5,10,14.0,15.0,2019.0,566.93,2.01,10.0,0.273,0.5631560835049167,3.0,4.0,3.0,2.0,3.0,2.0,1.0,4.0,380100.0,business,13,0.3522,0
B00013,26,gig,Telangana,2,18760.6,25189.65,11624.02,20743.38,17026.42,36033.27,salaried-gig,10,2,15.7,815.63,0.0,0.0,5,19,6.0,16.0,2023.0,539.06,1.0,6.3,0.411,0.07873125075540563,2.0,2.0,3.0,2.0,2.0,4.0,3.0,4.0,157000.0,business,27,0.5783,0
B00014,37,gig,Telangana,5,11236.16,24815.6,24000.27,21579.6,30463.07,28129.85,daily-wage,20,3,94.0,1841.91,15.0,1.0,3,21,8.0,19.0,2019.0,433.7,1.28,6.4,0.232,0.7864751489006991,4.0,3.0,4.0,3.0,3.0,3.0,4.0,2.0,100700.0,business,41,0.5248,0
B00015,33,gig,Maharashtra,3,23696.95,17450.73,30537.26,33089.04,21298.47,25092.56,salaried-gig,11,2,43.7,1333.56,2.0,1.0,8,21,5.0,10.0,2021.0,603.44,0.98,1.6,0.451,0.8031780552398533,3.0,3.0,5.0,2.0,3.0,2.0,3.0,2.0,98600.0,medical,21,0.4023,0
B00016,54,rural,Bihar,7,9584.11,11447.87,21535.99,12172.5,11308.29,16794.31,seasonal,26,2,,,,,2,15,,,2019.0,243.28,1.36,0.0,,,2.0,3.0,3.0,2.0,2.0,2.0,4.0,3.0,146900.0,business,17,0.5287,0
B00017,34,migrant,Tamil Nadu,3,27304.17,21816.71,22467.87,26065.06,22645.83,20799.61,daily-wage,13,3,,1897.6,,1.0,8,20,13.0,18.0,2019.0,530.21,2.12,13.1,0.198,0.8147550588170409,3.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,134900.0,consumption,10,0.4903,0
B00018,53,rural,Rajasthan,5,10121.92,9234.85,19754.09,13051.16,8215.76,17729.39,seasonal,26,2,34.8,1934.37,8.0,0.0,12,19,,,2019.0,172.39,0.76,3.9,0.311,0.47102753083399607,3.0,3.0,3.0,2.0,2.0,2.0,4.0,2.0,339300.0,agriculture,43,0.5294,0
B00019,34,rural,Rajasthan,4,16059.74,16868.4,31314.41,11848.91,14302.83,26797.03,seasonal,38,3,64.1,2566.92,18.0,0.0,11,20,9.0,16.0,2017.0,359.49,1.99,0.0,,,5.0,3.0,3.0,,4.0,5.0,3.0,4.0,204100.0,consumption,32,0.4087,0
B00020,39,gig,Maharashtra,2,31595.07,44795.38,21358.07,29439.7,34568.72,43500.62,salaried-gig,23,3,50.6,2692.9,20.0,0.0,8,9,16.0,22.0,2017.0,587.51,2.22,7.1,0.154,0.8450793028251683,2.0,3.0,3.0,3.0,3.0,5.0,3.0,4.0,170900.0,business,34,0.2332,0
B00021,42,rural,Bihar,4,7937.03,7463.84,15983.82,8261.84,9516.72,16626.97,seasonal,18,2,39.6,1144.59,6.0,0.0,3,6,8.0,16.0,2020.0,352.34,1.05,0.0,,,2.0,3.0,3.0,2.0,2.0,,4.0,2.0,369800.0,business,36,0.6086,1
B00022,32,gig,Tamil Nadu,3,30923.9,17756.18,39771.53,46545.52,34856.15,24447.42,salaried-gig,24,4,99.2,2746.53,17.0,1.0,6,7,,,2013.0,678.33,2.48,10.6,0.172,0.960336453201966,4.0,4.0,1.0,4.0,4.0,3.0,3.0,4.0,81800.0,agriculture,54,0.4057,0
B00023,46,rural,Rajasthan,6,17627.53,14945.63,30824.53,12299.95,17086.2,18426.04,self-employed,45,3,,,,,7,10,,,2014.0,410.71,2.1,12.8,0.25,0.8019119869327607,4.0,4.0,3.0,3.0,5.0,3.0,4.0,3.0,25000.0,business,45,0.4462,0
