age,monthly_income_inr,area_type,upi_monthly_avg_txn_count,upi_avg_txn_amount,upi_failed_txn_ratio,mobile_recharge_consistency_score,mobile_recharge_lapse_days_max,utility_bills_on_time_pct,electricity_bill_avg_amount,cooperative_meeting_attendance_pct,shg_savings_amount_inr,microfinance_loans_repaid_count,microfinance_default_rate,gig_monthly_earnings,gig_platform_rating,jandhan_avg_balance,jandhan_zero_balance_months,monthly_data_usage_gb,telecom_bill_late_payments,banking_app_login_frequency_monthly,fintech_apps_count,rent_on_time_payment_pct,rent_to_income_ratio,social_referral_count,insurance_policy_count,alternative_credit_score,credit_risk_label,loan_approved
56,28426,Rural,57,1207.68,0.024,0.98,75,0.75,2265.13,0.8,5599,3,0.009,0.0,0.0,0.0,0,1.35,3,56,0,0.99,0.66,4,0,680,Low Risk,1
46,20772,Semi-Urban,113,1194.25,0.067,0.38,30,0.56,2471.31,0.0,0,2,0.152,0.0,0.0,0.0,0,7.78,8,49,3,0.0,0.0,0,1,519,High Risk,0
32,8450,Rural,40,373.44,0.041,0.64,11,0.48,2168.64,0.68,24709,2,0.113,10521.48,3.3,207.58,1,1.41,8,1,7,0.74,0.13,7,1,696,Low Risk,1
60,6712,Urban,5,85.96,0.22,0.16,56,0.6,1412.54,0.0,0,3,0.077,19200.47,3.7,1024.81,5,5.25,4,30,1,0.0,0.0,1,3,563,Medium Risk,0
25,4367,Urban,74,127.76,0.347,0.98,65,0.92,1815.76,0.0,0,4,0.001,22173.61,3.8,1730.63,4,5.68,11,17,0,0.0,0.0,1,3,677,Low Risk,1
38,11189,Semi-Urban,37,224.53,0.096,0.7,11,0.86,2415.23,0.0,0,0,0.019,0.0,0.0,589.19,3,12.17,4,41,2,0.8,0.17,5,2,657,Low Risk,1
56,12013,Urban,5,896.11,0.149,0.75,26,0.61,1487.48,0.67,40077,8,0.229,0.0,0.0,2044.92,2,2.67,6,9,4,0.86,0.07,8,2,678,Low Risk,1
36,19838,Urban,44,141.51,0.075,0.07,45,0.85,2115.95,0.0,0,1,0.239,0.0,0.0,0.0,0,4.22,7,54,3,0.0,0.0,4,3,517,High Risk,0
40,29200,Urban,74,156.41,0.208,0.76,6,0.86,2361.3,0.0,0,0,0.176,0.0,0.0,890.84,9,5.31,2,54,1,0.72,0.2,5,0,646,Medium Risk,1
28,22156,Urban,13,2248.5,0.122,0.77,60,0.6,1469.29,0.0,0,3,0.023,0.0,0.0,115.25,5,2.67,11,5,0,0.95,0.12,2,0,561,Medium Risk,0
